Train data size: 614
Test data size: 154
Feature columns: ['SkinThickness', 'BMI', 'Insulin', 'Glucose', 'BloodPressure', 'DiabetesPedigreeFunction', 'Pregnancies', 'Age']
[224]   validation_0-auc:0.88341        validation_1-auc:0.80611
[225]   validation_0-auc:0.88350        validation_1-auc:0.80593
[226]   validation_0-auc:0.88333        validation_1-auc:0.80611
[227]   validation_0-auc:0.88334        validation_1-auc:0.80648
[228]   validation_0-auc:0.88342        validation_1-auc:0.80685
[229]   validation_0-auc:0.88352        validation_1-auc:0.80685
[230]   validation_0-auc:0.88354        validation_1-auc:0.80704
[231]   validation_0-auc:0.88348        validation_1-auc:0.80722
[232]   validation_0-auc:0.88348        validation_1-auc:0.80704
[233]   validation_0-auc:0.88338        validation_1-auc:0.80704
[234]   validation_0-auc:0.88362        validation_1-auc:0.80722
[235]   validation_0-auc:0.88368        validation_1-auc:0.80741
[236]   validation_0-auc:0.88377        validation_1-auc:0.80704
[237]   validation_0-auc:0.88381        validation_1-auc:0.80704
[238]   validation_0-auc:0.88396        validation_1-auc:0.80722
[239]   validation_0-auc:0.88404        validation_1-auc:0.80685
[240]   validation_0-auc:0.88412        validation_1-auc:0.80704
[241]   validation_0-auc:0.88414        validation_1-auc:0.80741
[242]   validation_0-auc:0.88409        validation_1-auc:0.80741
[243]   validation_0-auc:0.88408        validation_1-auc:0.80704
[244]   validation_0-auc:0.88416        validation_1-auc:0.80741
[245]   validation_0-auc:0.88418        validation_1-auc:0.80741
[246]   validation_0-auc:0.88411        validation_1-auc:0.80759
[247]   validation_0-auc:0.88414        validation_1-auc:0.80741
[248]   validation_0-auc:0.88424        validation_1-auc:0.80741
[249]   validation_0-auc:0.88424        validation_1-auc:0.80741
[250]   validation_0-auc:0.88425        validation_1-auc:0.80722
[251]   validation_0-auc:0.88422        validation_1-auc:0.80685
[252]   validation_0-auc:0.88433        validation_1-auc:0.80722
[253]   validation_0-auc:0.88447        validation_1-auc:0.80722
[254]   validation_0-auc:0.88447        validation_1-auc:0.80759
[255]   validation_0-auc:0.88443        validation_1-auc:0.80759
[256]   validation_0-auc:0.88450        validation_1-auc:0.80778
[257]   validation_0-auc:0.88457        validation_1-auc:0.80759
[258]   validation_0-auc:0.88451        validation_1-auc:0.80778
[259]   validation_0-auc:0.88445        validation_1-auc:0.80796
[260]   validation_0-auc:0.88442        validation_1-auc:0.80815
[261]   validation_0-auc:0.88461        validation_1-auc:0.80852
[262]   validation_0-auc:0.88479        validation_1-auc:0.80852
[263]   validation_0-auc:0.88474        validation_1-auc:0.80796
[264]   validation_0-auc:0.88477        validation_1-auc:0.80889
[265]   validation_0-auc:0.88487        validation_1-auc:0.80889
[266]   validation_0-auc:0.88491        validation_1-auc:0.80870
[267]   validation_0-auc:0.88492        validation_1-auc:0.80889
[268]   validation_0-auc:0.88506        validation_1-auc:0.80833
[269]   validation_0-auc:0.88508        validation_1-auc:0.80870
[270]   validation_0-auc:0.88499        validation_1-auc:0.80870
[271]   validation_0-auc:0.88492        validation_1-auc:0.80889
[272]   validation_0-auc:0.88501        validation_1-auc:0.80926
[273]   validation_0-auc:0.88500        validation_1-auc:0.80907
[274]   validation_0-auc:0.88499        validation_1-auc:0.80926
[275]   validation_0-auc:0.88501        validation_1-auc:0.80926
[276]   validation_0-auc:0.88511        validation_1-auc:0.80944
[277]   validation_0-auc:0.88508        validation_1-auc:0.80926
[278]   validation_0-auc:0.88495        validation_1-auc:0.80833
[279]   validation_0-auc:0.88507        validation_1-auc:0.80907
[280]   validation_0-auc:0.88509        validation_1-auc:0.80870
[281]   validation_0-auc:0.88504        validation_1-auc:0.80889
[282]   validation_0-auc:0.88515        validation_1-auc:0.80963
[283]   validation_0-auc:0.88525        validation_1-auc:0.80944
[284]   validation_0-auc:0.88525        validation_1-auc:0.80889
[285]   validation_0-auc:0.88523        validation_1-auc:0.80907
[286]   validation_0-auc:0.88529        validation_1-auc:0.80889
[287]   validation_0-auc:0.88538        validation_1-auc:0.80870
[288]   validation_0-auc:0.88537        validation_1-auc:0.80926
[289]   validation_0-auc:0.88534        validation_1-auc:0.80907
[290]   validation_0-auc:0.88532        validation_1-auc:0.80870
[291]   validation_0-auc:0.88537        validation_1-auc:0.80815
[292]   validation_0-auc:0.88548        validation_1-auc:0.80815
[293]   validation_0-auc:0.88540        validation_1-auc:0.80815
[294]   validation_0-auc:0.88536        validation_1-auc:0.80833
[295]   validation_0-auc:0.88537        validation_1-auc:0.80852
[296]   validation_0-auc:0.88537        validation_1-auc:0.80870
[297]   validation_0-auc:0.88544        validation_1-auc:0.80852
[298]   validation_0-auc:0.88543        validation_1-auc:0.80852
[299]   validation_0-auc:0.88554        validation_1-auc:0.80870
[300]   validation_0-auc:0.88546        validation_1-auc:0.80870
[301]   validation_0-auc:0.88547        validation_1-auc:0.80852
[302]   validation_0-auc:0.88541        validation_1-auc:0.80833
[303]   validation_0-auc:0.88542        validation_1-auc:0.80833
[304]   validation_0-auc:0.88544        validation_1-auc:0.80852
[305]   validation_0-auc:0.88539        validation_1-auc:0.80796
[306]   validation_0-auc:0.88543        validation_1-auc:0.80833
[307]   validation_0-auc:0.88548        validation_1-auc:0.80815
[308]   validation_0-auc:0.88554        validation_1-auc:0.80778
[309]   validation_0-auc:0.88557        validation_1-auc:0.80796
[310]   validation_0-auc:0.88557        validation_1-auc:0.80815
[311]   validation_0-auc:0.88558        validation_1-auc:0.80815
[312]   validation_0-auc:0.88576        validation_1-auc:0.80833
[313]   validation_0-auc:0.88581        validation_1-auc:0.80815
[314]   validation_0-auc:0.88577        validation_1-auc:0.80833
[315]   validation_0-auc:0.88585        validation_1-auc:0.80815
[316]   validation_0-auc:0.88581        validation_1-auc:0.80815
[317]   validation_0-auc:0.88584        validation_1-auc:0.80815
[318]   validation_0-auc:0.88584        validation_1-auc:0.80833
[319]   validation_0-auc:0.88596        validation_1-auc:0.80833
[320]   validation_0-auc:0.88589        validation_1-auc:0.80870
[321]   validation_0-auc:0.88598        validation_1-auc:0.80852
[322]   validation_0-auc:0.88597        validation_1-auc:0.80852
[323]   validation_0-auc:0.88602        validation_1-auc:0.80870
[324]   validation_0-auc:0.88604        validation_1-auc:0.80870
[325]   validation_0-auc:0.88603        validation_1-auc:0.80852
[326]   validation_0-auc:0.88603        validation_1-auc:0.80796
[327]   validation_0-auc:0.88600        validation_1-auc:0.80889
[328]   validation_0-auc:0.88599        validation_1-auc:0.80852
[329]   validation_0-auc:0.88613        validation_1-auc:0.80852
[330]   validation_0-auc:0.88607        validation_1-auc:0.80833
